week,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95
"[-60,-56)",151,4.10162251832469,0.950641641786154,2.5,3.0,3.5,4.09000015258789,4.69999980926514,5.30000019073486,5.69999980926514,0.53597970941067,0.287851679186636,0.037092961370945,0.127724409103394,0.306715190410614,0.555651962757111,0.79187598824501,0.908187508583069,0.948755085468292,27.7479285735886,3.91726828172697,21.2611872146119,22.1135844748858,24.5821917808219,27.7873287671233,30.6763698630137,32.6889269406393,34.216095890411,55.0,26.9514896002683,6.85412679366603,18.7753793716431,19.7691200256348,22.0017495155334,25.2712001800537,31.152850151062,35.3681301116943,39.3755592346191
"[-56,-52)",157,4.19101910150734,1.03140008967969,2.68000001907349,2.90000009536743,3.59999990463257,4.19999980926514,4.69999980926514,5.40000009536743,5.93799991607666,0.55452269206571,0.294594332839656,0.0601034559309483,0.10204313993454,0.349720537662506,0.60513299703598,0.793516933917999,0.917274832725525,0.963519871234894,27.6721686589303,3.88724564637458,21.3035159817352,22.1605707762557,24.8065068493151,27.6396118721461,30.5981735159817,33.1670547945205,33.9105479452055,54.0,25.609554054119,5.34310995527434,18.9484098434448,20.1951007843018,21.3014086087545,24.6187248229981,28.5094742774963,35.024849319458,36.1327599525452
"[-52,-48)",101,4.24099011232357,1.05812144571285,2.59999990463257,3.0,3.5,4.09999990463257,4.80000019073486,5.69999980926514,6.09999990463257,0.553749102416753,0.298667718797938,0.0489689558744431,0.129344865679741,0.308831930160522,0.561854302883148,0.809209227561951,0.94667375087738,0.971431314945221,27.6371083683711,4.25630687457945,21.3270547945206,21.5602739726027,23.74600456621,28.0119863013699,31.3187214611872,32.8913242009132,33.724200913242,43.0,26.1562382587167,5.7691359839494,19.954949760437,20.525280380249,22.3719754219055,24.3495998382568,28.7991495132446,34.8268188476563,39.4489948272705
"[-48,-44)",106,4.06679247010429,0.988568524286572,2.52249997854233,2.79999995231628,3.32499998807907,4.0,4.77500009536743,5.45000004768372,5.82249999046326,0.51479741896696,0.310144629795127,0.0391477718949318,0.0807413682341576,0.231190610677004,0.524324178695679,0.800407126545906,0.9256452023983,0.95441260933876,28.5160786594297,3.70856857711552,22.0110445205479,22.8352168949772,25.7434931506849,29.0146689497717,31.5307933789954,33.2118721461187,34.0022831050228,31.0,26.526924034857,5.83545629803076,19.9228506088257,21.0076999664307,21.9041495323181,24.3824005126953,30.2025566101074,36.0518989562988,37.2284301757813
"[-44,-40)",130,4.35715384299939,1.02072647712174,2.93150006532669,3.09999990463257,3.59999990463257,4.25,4.90000009536743,5.69999980926514,6.30000019073486,0.591276676981495,0.28402327582784,0.104591785743833,0.159597438573837,0.350320391356945,0.628680408000946,0.827059343457222,0.948191422224045,0.980922907590866,28.2137925886899,3.77153380299046,22.491752283105,23.464897260274,25.3324200913242,28.0119292237443,30.8078767123288,33.8833789954338,34.1665924657534,45.0,26.7651115375095,6.49555087610622,19.330099105835,20.1375602722168,21.6199502944946,24.5603008270264,30.6147994995117,37.0722760009766,38.6580390930176
"[-40,-36)",115,4.33078262183977,1.04461456016969,2.93999998569489,3.20000004768372,3.59999990463257,4.30000019073486,4.90000009536743,5.80000019073486,6.25999989509583,0.586616969634981,0.283581285750765,0.114717151969671,0.186651909351349,0.34596112370491,0.643841743469238,0.829792469739914,0.954496026039124,0.978357827663422,28.0035030772285,3.94636293508605,21.3493378995434,21.8691552511416,25.1941780821918,28.3985159817352,30.8739726027397,32.9982191780822,33.9041666666667,46.0,25.1963868030603,6.44584299221654,18.4475994110107,19.3480997085571,20.5499000549316,23.2491998672485,28.6396746635437,34.788729095459,37.8545007705689
"[-36,-32)",324,3.65256173044075,0.893702724377645,2.5,2.70000004768372,3.0,3.59999990463257,4.19999980926514,4.87000012397766,5.19999980926514,0.3832400646323,0.284159006505639,0.0352180538699031,0.0621363282203674,0.12862516567111,0.342450082302094,0.616384983062744,0.826390987634659,0.898465350270271,27.5269205564012,3.79868209103655,21.2613070776256,22.1628538812785,24.6551084474886,27.80399543379,30.1447773972603,33.0367694063927,33.7834760273973,94.0,25.6043575249665,6.01917524572886,18.663405418396,19.7465191841126,21.0813498497009,23.7320003509522,29.5911750793457,33.8269505500793,37.5678762435913
"[-32,-28)",507,3.34865876732493,1.04110489114809,1.80299994945526,2.20000004768372,2.69500005245209,3.20000004768372,3.90000009536743,4.69999980926514,5.09999990463257,0.297591387941786,0.285008571654258,0.0044347958173602,0.014241429977119,0.0563542265444994,0.188790559768677,0.479021579027176,0.782579863071442,0.881442010402679,28.123721100934,3.99413148913687,21.2654452054795,22.204200913242,25.3257420091324,28.3131278538813,31.6096461187215,33.2812100456621,34.0685388127854,145.0,25.5350636392352,5.02580989328098,19.1840999603272,20.2929595947266,21.6128005981445,24.3530998229981,28.6215000152588,32.8827590942383,35.6387504577637
"[-28,-24)",364,3.23524725142416,1.08738025833758,1.7150000333786,2.09999990463257,2.59999990463257,3.20000004768372,3.70000004768372,4.40000009536743,4.80000019073486,0.261293270237709,0.259125866371035,0.0031353197875432,0.010666623339057,0.0496717095375061,0.186453267931938,0.385875269770622,0.687118583917618,0.818272736668587,27.8668761603693,4.08985054801374,21.320348173516,22.0152739726027,24.6750856164384,27.5687214611872,31.316752283105,33.7146803652968,34.2371917808219,90.0,25.7597628346196,5.74303996422537,18.8188991546631,19.3198600769043,21.2375750541687,24.620932896932,28.3987007141113,35.445226764679,36.9241052627564
"[-24,-20)",258,3.22248061936955,0.845264248869178,2.0,2.20000004768372,2.70000004768372,3.20000004768372,3.70000004768372,4.30000019073486,4.59999990463257,0.255481423684346,0.245307952972149,0.007730026403442,0.0148161661811173,0.0636152066290379,0.186464391648769,0.391104690730572,0.65470250248909,0.748252820968628,27.8170560334148,3.95958960962743,21.3807020547945,22.6756164383562,24.7579337899543,27.6834474885845,31.2913812785388,33.2629794520548,34.0523687214612,49.0,25.0231477062718,5.74338695727128,18.1506797790527,19.4891593933106,21.3593006134033,23.8750991821289,26.9531002044678,30.7055606842041,35.3729202270508
