lab,number_of_women_with_test,number_of_pregnancies_with_test,total_2010,first_2010,first_preg,gw_n,preterm_percent,gw_5,gw_10,gw_25,gw_50,gw_75,gw_90,gw_95,c_section_n,c_section_percent
INSULIN_LIKE_GROWTH_FACTOR_1,285,287,231,149,0.645021645021645,204,0.176470588235294,36,37,38,39,40,40,41,58,0.202090592334495
HGB,151486,258879,165536,76666,0.463137927701527,128457,0.121301291482753,37,37,38,39,40,41,41,42693,0.164914883014845
ANGIOTENSIN_I_CONVERTING_ENZYME,137,139,92,48,0.521739130434783,77,0.155844155844156,36,37,38,39,40,41,41,39,0.280575539568345
ALDOSTERONE_BLOOD,165,167,117,73,0.623931623931624,96,0.21875,36.75,37,38,39,40,40,41,47,0.281437125748503
PARATHYROID_HORMONE_PTH,1230,1275,1052,528,0.501901140684411,906,0.177704194260486,36,37,38,39,40,41,41,303,0.237647058823529
HCT,146124,242577,153431,71483,0.46589672230514,119064,0.120145467983605,37,37,38,39,40,41,41,39754,0.163881983864917
11_DEOXYCORTISOL_COMPOUND_S,138,139,104,67,0.644230769230769,74,0.189189189189189,35.3,36.3,38,39,40,40.7,41,25,0.179856115107914
ACTH_ADRENOCORTICOTROPIC_HORMONE,96,97,73,48,0.657534246575342,56,0.232142857142857,34.75,36.5,38,39,40,41,41,16,0.164948453608247
PLT,161423,299150,184716,83413,0.451574308668442,143198,0.120797776505258,37,37,38,39,40,41,41,48303,0.161467491225138
MCV,162945,304845,187825,84340,0.449035005989618,145725,0.12183908045977,37,37,38,39,40,41,41,49561,0.162577703423051
MCH,162836,304078,187379,84251,0.449628827136445,145370,0.121888972965536,37,37,38,39,40,41,41,49462,0.162662211669374
MCHC,162067,301613,185607,83645,0.450656494636517,143920,0.120935241801001,37,37,38,39,40,41,41,48710,0.161498343904275
MPV,162262,304059,188273,84272,0.44760533905552,146336,0.121754045484365,37,37,38,39,40,41,41,49419,0.162530956163113
PCT,59755,94466,71917,28225,0.392466315335734,62939,0.117431163507523,37,37,38,39,40,41,41,14570,0.154235386276544
PDW,49041,67163,11710,6325,0.540136635354398,1856,0.132004310344828,36,37,38,39,40,41,41,11391,0.169602310796123
HDW,19794,25650,18957,10224,0.539325842696629,16969,0.11008309269845,37,37,38,39,40,41,41,4826,0.188148148148148
LUCperc,143355,249977,156134,70214,0.449703459848592,122308,0.11619027373516,37,37,38,39,40,41,41,40970,0.163895078347208
LUC,140734,246093,157609,71343,0.452658160384242,123938,0.119406477432265,37,37,38,39,40,41,41,40573,0.164868565948645
MPXI,47557,72399,51457,25803,0.501447810793478,39925,0.108102692548528,37,37,38,39,40,41,41,13763,0.190099310763961
MACROperc,136263,232098,152468,69502,0.455846472702469,119311,0.118807151058997,37,37,38,39,40,41,41,38445,0.165641237753018
