week,bmi,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95
"[-7,-6)","[18.5,25)",797,4.20464241523366,6.11374315486131,0.100000001490116,0.300000011920929,0.600000023841858,1.60000002384186,4.59999990463257,12.5,18.1000003814697,0.537623910165603,0.280568300353783,0.0663460329174995,0.162223666906357,0.297325253486633,0.531423032283783,0.789300382137299,0.926349008083344,0.954072332382202,28.4173023266473,3.88908737425352,21.1279452054795,22.5136301369863,25.8215753424658,28.7603881278539,31.4642694063927,33.5025799086758,34.1252739726027,797,21.6869319894233,1.83598898319998,18.9062404632568,19.2653007507324,20.1362495422363,21.6128005981445,23.2434005737305,24.2423992156982,24.568839263916
"[-7,-6)","[25,30]",285,5.02701755958168,7.10652891336872,0.200000002980232,0.400000005960465,1.10000002384186,2.40000009536743,5.80000019073486,14.0600002288818,18.5400001525879,0.605154442578031,0.262717362490173,0.108571842312813,0.21899816095829,0.431617796421051,0.631694197654724,0.832311630249023,0.93845123052597,0.95852587223053,28.7439101177602,3.85031443319198,22.3512100456621,23.0348173515982,25.812899543379,29.137899543379,31.8453196347032,33.8103424657534,34.1931735159817,285,26.9731805533694,1.42644735364951,25.0995006561279,25.2352203369141,25.7812995910645,26.6749000549316,28.0688991546631,29.1805797576904,29.6373203277588
"[-6,-5)","[15,18.5)",144,5.12500001841949,9.2812655622467,0.0150000002235175,0.300000011920929,0.775000005960465,1.89999997615814,5.30000019073486,11.1599998474121,18.385000705719,0.565222496942928,0.283188663551059,0.039551735855639,0.159108370542526,0.334003135561943,0.57433009147644,0.813529908657074,0.916279780864716,0.95811878144741,28.1559400367834,3.87093580877136,20.8806107305936,21.8610273972603,26.0262557077626,28.997203196347,31.1358447488585,32.7005251141553,33.7668436073059,144,17.5294968861121,0.758637353659511,16.1354007720947,16.4167697906494,17.0832996368408,17.7154006958008,18.2095251083374,18.36549949646,18.4265003204346
"[-6,-5)","[18.5,25)",901,3.91453939459631,5.7928211553889,0.200000002980232,0.400000005960465,0.800000011920929,1.79999995231628,4.5,9.89999961853027,14.3999996185303,0.5543413576148,0.26191052956001,0.108723044395447,0.196359172463417,0.341886520385742,0.562806129455566,0.775457978248596,0.90121591091156,0.938283979892731,28.3349293529767,3.89507981425463,21.1571917808219,22.6996575342466,25.3654109589041,28.7369863013699,31.5421232876712,33.2913242009133,34.0502283105023,901,21.6533712636882,1.8136608842305,18.8188991546631,19.1952991485596,20.1347999572754,21.5139007568359,23.2334995269775,24.167200088501,24.5351009368897
"[-6,-5)","[25,30]",303,4.65429042894455,6.05921093989972,0.210000003874302,0.5,0.949999988079071,2.40000009536743,6.09999990463257,11.3799997329712,17.7899993896484,0.598129534780389,0.263555515692629,0.124094139039517,0.240051433444023,0.394619405269623,0.626078605651856,0.834281831979752,0.92030166387558,0.953276646137238,28.9084376930844,3.83495797092637,21.6510159817352,22.8586301369863,26.5584474885845,29.2913242009132,31.9518264840183,33.7701369863014,34.2149315068493,303,27.2170732459351,1.47046561209121,25.0999406814575,25.2661205291748,25.9095001220703,27.1809005737305,28.4928998947144,29.3329998016357,29.6844449996948
"[-5,-4)","[15,18.5)",153,4.03529412133826,6.04829762891873,0.0600000008940698,0.300000011920929,0.600000023841858,1.60000002384186,4.80000019073486,9.76000022888184,16.2999992370605,0.533363153269283,0.283636275360893,0.0538779765367508,0.159731429815292,0.297325253486633,0.542030990123749,0.79279762506485,0.90259165763855,0.946067345142365,27.4691556988092,3.78048094217008,21.4404794520548,22.6295205479452,24.2228310502283,27.4288812785388,30.3899543378995,32.4465068493151,33.4636529680365,153,17.5442325845523,0.742397961562106,16.0153400421143,16.6499397277832,17.1028995513916,17.6814498901367,18.0662002563477,18.3593997955322,18.3997592926025
"[-5,-4)","[18.5,25)",1007,4.13614696946435,6.21230291684399,0.200000002980232,0.300000011920929,0.800000011920929,1.89999997615814,4.64999985694885,10.5,15.6699999809265,0.558407429339366,0.266159453299591,0.114584283530712,0.1711785197258,0.344250708818436,0.567691624164581,0.787021815776825,0.908033215999603,0.944421201944351,28.5359856574753,3.89696671599681,21.203196347032,22.4771917808219,25.9283675799087,28.7651826484018,31.7056506849315,33.5954566210046,34.2789611872146,1007,21.6369614616919,1.79238729152739,18.9234004974365,19.2276992797852,20.1421251296997,21.6040992736816,23.0517997741699,24.2093496322632,24.5674991607666
"[-5,-4)","[25,30]",326,5.5134969349562,8.49902081868362,0,0.300000011920929,0.899999976158142,2.29999995231628,6.27500009536743,13.1500000953674,22.1749992370605,0.58878532245161,0.284071231830375,0.0348170250654221,0.169981509447098,0.365274623036385,0.628837674856186,0.835939779877663,0.930865615606308,0.967620328068733,28.757063968961,4.097011824378,21.0072773972603,22.2490867579909,25.672203196347,29.3721461187215,32.2009703196347,33.9920662100457,34.4172374429224,326,27.1394317808327,1.39887668467562,25.2221245765686,25.39202003479,25.9549746513367,26.8891000747681,28.3509998321533,29.257474899292,29.5116251309713
"[-4,-3)","[15,18.5)",146,4.81506847952531,6.98405409585501,0.100000001490116,0.300000011920929,0.600000023841858,1.84999996423721,5.97500002384186,13.9499998092651,16.050000667572,0.560040606696108,0.292626811073949,0.06441237218678,0.166965559124947,0.296823129057884,0.56943354010582,0.830907285213471,0.934092313051224,0.943377658724785,27.8932757865766,4.16034674157695,21.0490296803653,22.0062785388128,24.2992294520548,28.3536529680365,31.2303938356164,33.2466324200913,33.7551369863014,146,17.3418734169442,0.846241628521795,15.6059002081553,16.0674753189087,16.8037247657776,17.5012502670288,18.0017995834351,18.3492498397827,18.4093503952026
"[-4,-3)","[18.5,25)",1065,4.19079813268823,6.26926394592015,0.200000002980232,0.300000011920929,0.800000011920929,1.79999995231628,4.80000019073486,11.160000038147,16.7000007629395,0.553932347096188,0.269616073835759,0.109037125110626,0.169734284281731,0.335224270820618,0.561676442623138,0.793722271919251,0.913819646835327,0.950981891155243,28.4700838210389,3.86442246355255,21.2793378995434,22.6476940639269,25.6036529680365,28.9051369863014,31.4366438356164,33.3887442922375,34.19399543379,1065,21.5957799256314,1.72195153470517,19.0281391143799,19.3727600097656,20.1480007171631,21.5645008087158,23.0111999511719,24.0033004760742,24.5532604217529
